101;Java Programming;highly significant;book;John Doe;Tech Publications;studentWScholar;01/11/2023;13/11/2023
201;Science Today;noteworthy;magazine;science;Discovery;studentWOScholar;02/11/2023;15/11/2023
301;History of Art;invaluable;book;Jane Smith;Art Publishing;general;05/11/2023;12/11/2023
401;Mathematics Journal;highly significant;magazine;mathematics;Science Publications;studentWScholar;06/11/2023;08/11/2023
501;Classic Literature;noteworthy;book;Mark Johnson;Literary Works;general;10/11/2023;30/11/2023
601;Nature Explorer;invaluable;magazine;nature;Explorer Media;studentWScholar;15/11/2023;01/12/2023
701;Computer Science Basics;highly significant;book;Emily White;Technology Books;studentWOScholar;18/11/2023;20/11/2023
801;Travel Adventures;noteworthy;magazine;travel;Adventure Publications;general;21/11/2023;03/12/2023
901;Health and Wellness;invaluable;book;Susan Green;Wellness Publishing;studentWScholar;25/11/2023;28/11/2023
1001;Space Exploration;highly significant;magazine;space;NASA;general;28/11/2023;01/12/2023
1101;Artificial Intelligence;noteworthy;book;Alexander Brown;AI Publications;studentWOScholar;02/12/2023;05/12/2023
1201;Astronomy Today;noteworthy;magazine;astronomy;Space Gazette;general;08/01/2024;20/01/2024
1301;Psychology Insights;highly significant;book;Emma Davis;Psych Publishing;general;11/12/2023;25/12/2023
1401;Economics Review;noteworthy;magazine;economics;Economic Times;general;15/12/2023;28/12/2023
1501;Data Science Essentials;noteworthy;book;Sophia Johnson;Data Science Publications;general;26/12/2023;20/01/2024
1601;Ecology Explorer;highly significant;magazine;ecology;Explorer Media;studentWScholar;23/12/2023;28/12/2023
1701;Philosophy Perspectives;invaluable;book;Richard Turner;Philosophy Books;studentWOScholar;18/12/2023;22/12/2023
1801;Social Sciences Review;highly significant;book;Andrew Miller;Social Science Books;studentWOScholar;05/01/2024;25/01/2024
1901;Food and Cuisine;invaluable;magazine;food;Culinary Delights;general;01/01/2024;10/01/2024
2001;Chemistry Today;invaluable;magazine;chemistry;Science Insights;studentWScholar;06/12/2023;10/12/2023
